LANGUAGE,English,French

STR_R3F_25Rnd_556x45_FAMAS,"FAMAS Mag. 25 rounds", "Charg. FAMAS 25 coups"
STR_R3F_25Rnd_556x45_FAMAS_DESC,"Cal. 5.56x45mm, 960 m/s","Cal. 5.56x45mm, 960 m/s"
STR_R3F_25Rnd_556x45_FAMAS_LIB,"25 rounds magazine for FAMAS F1. Cal.: 5.56x45mm.","Chargeur de 25 cartouches pour FAMAS F1. Cal.: 5.56x45mm."

STR_R3F_30Rnd_556x45_FAMAS,"FAMAS Mag. 30 rounds","Charg. FAMAS 30 coups"
STR_R3F_30Rnd_556x45_FAMAS_DESC,"Cal. 5.56x45mm, 925 m/s","Cal. 5.56x45mm, 925 m/s"
STR_R3F_30Rnd_556x45_FAMAS_LIB,"30 rounds magazine for FAMAS G2. Cal.: 5.56x45mm.", "Chargeur de 30 cartouches pour FAMAS G2. Cal.: 5.56x45mm."

STR_R3F_25Rnd_556x45_TRACER_FAMAS,"FAMAS Mag. 25 rounds Tracer","Charg. FAMAS 25 coups Traçantes"
STR_R3F_25Rnd_556x45_TRACER_FAMAS_DESC,"Cal. 5.56x45mm, 960 m/s","Cal. 5.56x45mm, 960 m/s"
STR_R3F_25Rnd_556x45_TRACER_FAMAS_LIB,"25 rounds magazine for FAMAS F1. It contains infrared tracer rounds for night combat. Cal.: 5.56x45mm.","Chargeur de 25 cartouches pour FAMAS F1. Il contient des balles traçantes infrarouges pour le combat de nuit. Cal.: 5.56x45mm."

STR_R3F_30Rnd_556x45_TRACER_FAMAS,"FAMAS Mag. 30 rounds Tracer","Charg. FAMAS 30 coups Traçantes"
STR_R3F_30Rnd_556x45_TRACER_FAMAS_DESC,"Cal. 5.56x45mm tracer rounds, 925 m/s","Cal. 5.56x45mm balles traçantes, 925 m/s"
STR_R3F_30Rnd_556x45_TRACER_FAMAS_LIB,"30 rounds magazine for FAMAS G2. It contains infrared tracer rounds for night combat. Cal.: 5.56x45mm.","Chargeur de 30 cartouches pour FAMAS G2. Il contient des balles traçantes infrarouges pour le combat de nuit. Cal.: 5.56x45mm."

STR_R3F_25Rnd_556x45_SD_FAMAS,"FAMAS Mag. 25 rounds SD","Charg. FAMAS 25 coups SD"
STR_R3F_25Rnd_556x45_SD_FAMAS_DESC,"Cal. 5.56x45mm, 330 m/s","Cal. 5.56x45mm, 330 m/s"
STR_R3F_25Rnd_556x45_SD_FAMAS_LIB,"25 rounds magazine for FAMAS SD. Cal.: 5.56x45mm.","Chargeur de 25 cartouches pour FAMAS SD. Cal.: 5.56x45mm."

STR_R3F_30Rnd_556x45_SD_FAMAS,"FAMAS Mag. 30 rounds SD","Charg. FAMAS 30 coups SD"
STR_R3F_30Rnd_556x45_SD_FAMAS_DESC,"Cal. 5.56x45mm SD rounds, 330 m/s","Cal. 5.56x45mm balles SD, 330 m/s"
STR_R3F_30Rnd_556x45_SD_FAMAS_LIB,"30 rounds magazine for FAMAS SD. Cal.: 5.56x45mm.", "Chargeur de 30 cartouches pour FAMAS SD. Cal.: 5.56x45mm."

STR_R3F_10Rnd_762x51_FRF2,"FrF2 Mag. 10 rounds", "Charg. FrF2 10 coups"
STR_R3F_10Rnd_762x51_FRF2_DESC,"Cal. 7.62x51mm, 820 m/s","Cal. 7.62x51mm, 820 m/s"
STR_R3F_10Rnd_762x51_FRF2_LIB,"10 rounds magazine for FRF2. Cal. 7.62x51mm.","Chargeur de 10 cartouches pour Fusil à répétition F2 (FRF2). Cal. 7.62x51mm."

STR_R3F_10Rnd_762x51_SD_FRF2,"FrF2 Mag. 10 rounds SD", "Charg. FrF2 10 coups SD"
STR_R3F_10Rnd_762x51_SD_FRF2_DESC,"Cal. 7.62x51mm SD rounds, 480 m/s","Cal. 7.62x51mm balles SD, 480 m/s"
STR_R3F_10Rnd_762x51_SD_FRF2_LIB,"10 rounds magazine for FRF2 SD. Cal. 7.62x51mm.","Chargeur de 10 cartouches pour Fusil à répétition F2 silencieux (FRF2 SD). Cal. 7.62x51mm."

STR_R3F_20Rnd_762x51_HK417,"HK417 Mag. 20 rounds", "Charg. HK417 20 coups"
STR_R3F_20Rnd_762x51_HK417_DESC,"Cal. 7.62x51mm, 815 m/s","Cal. 7.62x51mm, 815 m/s"
STR_R3F_20Rnd_762x51_HK417_LIB,"20 rounds magazine for HK417. Cal. 7.62x51mm.","Chargeur de 20 cartouches pour Fusil à répétition HK417. Cal. 7.62x51mm."

STR_R3F_20Rnd_762x51_TRACER_HK417,"HK417 Mag. 20 rounds Tracer", "Charg. HK417 20 coups Traçantes"
STR_R3F_20Rnd_762x51_TRACER_HK417_DESC,"Cal. 7.62x51mm tracer rounds, 815 m/s","Cal. 7.62x51mm balles traçantes, 815 m/s"
STR_R3F_20Rnd_762x51_TRACER_HK417_LIB,"20 rounds magazine for HK417. It contains infrared tracer rounds for night combat. Cal. 7.62x51mm.","Chargeur de 20 cartouches pour Fusil à répétition HK417. Il contient des balles traçantes infrarouges pour le combat de nuit. Cal. 7.62x51mm."

STR_R3F_20Rnd_762x51_SD_HK417,"HK417 Mag. 20 rounds SD", "Charg. HK417 20 coups SD"
STR_R3F_20Rnd_762x51_SD_HK417_DESC,"Cal. 7.62x51mm SD rounds, 480 m/s","Cal. 7.62x51mm balles SD, 480 m/s"
STR_R3F_20Rnd_762x51_SD_HK417_LIB,"20 rounds magazine for HK417 SD. It contains special rounds for SD weapons. Cal. 7.62x51mm.","Chargeur de 20 cartouches pour Fusil à répétition HK417 SD. Il contient des balles spéciales pour les armes équipées de silencieux. Cal. 7.62x51mm."

STR_R3F_7Rnd_127x99_PGM,"PGM Mag. 7 rounds","Charg. PGM 7 coups"
STR_R3F_7Rnd_127x99_PGM_DESC,"Cal. 12.7x99mm, 780 m/s","Cal. 12.7x99mm, 780 m/s"
STR_R3F_7Rnd_127x99_PGM_LIB,"Chargeur de 7 cartouches pour fusil de précision PGM Hecate II. Cal. 12.7x99mm.","Chargeur de 7 cartouches pour fusil de précision PGM Hecate II. Cal. 12.7x99mm."

STR_R3F_7Rnd_127x99_PEI_PGM,"PGM Mag. 7 rounds PEI","Charg. PGM 7 coups PEI"
STR_R3F_7Rnd_127x99_PEI_PGM_DESC,"Cal. 12.7x99mm Piercing Explosive Incendiary, 780 m/s","Cal. 12.7x99mm Perforante Explosive Incendiaire, 780 m/s"
